# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
7.674500000000000766e-02 1.459006923860313609e+00 1.021304846702219438e+00 4.377020771580940606e-01 0.000000000000000000e+00 2.251720542927037882e-01 3.138788559628570063e+00 -2.122466952677937169e+00
7.824000000000000399e-02 1.470482059354165205e+00 1.029337441547915510e+00 4.411446178062495282e-01 0.000000000000000000e+00 2.226109015006718095e-01 3.118803750849294953e+00 -2.101833180530519041e+00
7.973500000000000032e-02 1.481975970909797713e+00 1.037383179636858443e+00 4.445927912729393250e-01 0.000000000000000000e+00 2.200308533409765510e-01 3.099175985460694616e+00 -2.081568026978067198e+00
8.122999999999999665e-02 1.493491190763471588e+00 1.045443833534430045e+00 4.480473572290414874e-01 0.000000000000000000e+00 2.174313570899562842e-01 3.079891951412464746e+00 -2.061657830411442571e+00
8.272500000000000686e-02 1.505030186441856710e+00 1.053521130509299519e+00 4.515090559325569686e-01 0.000000000000000000e+00 2.148118624764131512e-01 3.060939066901657846e+00 -2.042089676776130514e+00
8.422000000000000319e-02 1.516595366580673732e+00 1.061616756606471590e+00 4.549786099742020862e-01 0.000000000000000000e+00 2.121718208901249847e-01 3.042305427989597355e+00 -2.022851346050453358e+00
8.571499999999999952e-02 1.528189086300690613e+00 1.069732360410483363e+00 4.584567258902071396e-01 0.000000000000000000e+00 2.095106846378394228e-01 3.023979760832351538e+00 -2.003931263431323995e+00
8.720999999999999586e-02 1.539813652186432069e+00 1.077869556530502315e+00 4.619440956559295874e-01 0.000000000000000000e+00 2.068279062414542513e-01 3.005951378045670808e+00 -1.985318454739217309e+00
8.870500000000000607e-02 1.551471326907809756e+00 1.086029928835466674e+00 4.654413980723429156e-01 0.000000000000000000e+00 2.041229377736694939e-01 2.988210138782381620e+00 -1.967002505612132746e+00
9.020000000000000240e-02 1.563164333520417282e+00 1.094215033464291942e+00 4.689493000561251734e-01 0.000000000000000000e+00 2.013952302268953165e-01 2.970746412149606552e+00 -1.948973524108651656e+00
9.169499999999999873e-02 1.574894859476303033e+00 1.102426401633411990e+00 4.724684578428908766e-01 0.000000000000000000e+00 1.986442329116522854e-01 2.953551043636131634e+00 -1.931222106383922554e+00
9.318999999999999506e-02 1.586665060373652514e+00 1.110665542261556782e+00 4.759995181120957319e-01 0.000000000000000000e+00 1.958693928810706919e-01 2.936615324257549453e+00 -1.913739305140431668e+00
9.468500000000000527e-02 1.598477063470796544e+00 1.118933944429557403e+00 4.795431190412389189e-01 0.000000000000000000e+00 1.930701543784454077e-01 2.919930962159428933e+00 -1.896516600588654455e+00
9.618000000000000160e-02 1.610332970987351286e+00 1.127233079691145834e+00 4.830998912962053415e-01 0.000000000000000000e+00 1.902459583050792324e-01 2.903490056447282530e+00 -1.879545873681699009e+00
9.767499999999999793e-02 1.622234863212986822e+00 1.135564404249090664e+00 4.866704589638960465e-01 0.000000000000000000e+00 1.873962417059301944e-01 2.887285073037019867e+00 -1.862819381413568287e+00
